"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000010342",64.3725606667747,3.40428195987848,0.351814951721091,2.20898900736002e-25,2.19816496122396e-21,"Up","Tex14"
"ENSMUSG00000078815",133.230937950027,3.16870387849727,0.444786815034304,8.58242595443884e-16,2.84679068908736e-12,"Up","Cacng6"
"ENSMUSG00000039224",10.8642038717226,3.02408308993986,1.6549530469286,3.91221877805928e-07,0.000251164445551406,"Up","D1Pas1"
"ENSMUSG00000087268",19.2581705709519,2.62149629417575,0.685484303805666,1.46937284871068e-07,0.000100839511844966,"Up",NA
"ENSMUSG00000089661",40.2167090260784,2.48714207005128,0.528093913300287,9.28828762616717e-09,9.24277501679895e-06,"Up","Mia"
"ENSMUSG00000078173",13.0657213443283,2.29448984592815,1.26877297293541,3.2868669828586e-06,0.00136281722276775,"Up","Lenep"
"ENSMUSG00000050824",70.8410197360577,2.20761139827238,0.875996445257454,3.80292796642228e-06,0.00142924659308084,"Up","Sstr5"
"ENSMUSG00000044361",100.550015858222,2.18793381248135,0.295168920633217,1.55334598164303e-15,4.41638453237993e-12,"Up","BC024139"
"ENSMUSG00000019027",757.827196715881,2.17154394791553,0.176116315958837,8.6353050455512e-37,1.7185984101656e-32,"Up","Dnah1"
"ENSMUSG00000063171",987.471377309923,2.15483571960805,0.228747073614094,6.49330624828992e-23,4.30765936511553e-19,"Up",NA
"ENSMUSG00000024552",28.4262101061567,2.10657216152731,0.421700388288649,8.44084397768719e-09,8.84156193915423e-06,"Up","Slc14a2"
"ENSMUSG00000071470",13.8711168238438,2.10524666972036,0.616752894967221,1.6277864100322e-06,0.000875573111688129,"Up","Ccnb1ip1"
"ENSMUSG00000029658",29.3314576736759,2.05853148451233,0.400528897710263,4.80804783804076e-09,5.3160982262604e-06,"Up","Wdr95"
"ENSMUSG00000020299",19.8721449292537,1.9788517652316,0.594949659018982,2.69043264888769e-06,0.00116402153430789,"Up","4930524B15Rik"
"ENSMUSG00000090113",20.3947942617473,1.97000771798624,0.428893102665768,8.62273662160942e-08,6.86438816973083e-05,"Up","Nhlrc4"
"ENSMUSG00000075437",23.3486073445755,1.94121368643987,0.570442630712421,2.6204297993404e-06,0.00115892875258828,"Up","Gm11681"
"ENSMUSG00000032514",80.9723921102698,1.81636432013762,0.38827093809881,1.01358554827236e-07,7.7586075314294e-05,"Up","Ttc21a"
"ENSMUSG00000051029",38.2607750811537,1.80867631649301,0.848119354350069,1.65918092799979e-05,0.00465084772240166,"Up","Serpinb1b"
"ENSMUSG00000115388",24.362815906726,1.79323155295623,0.51676501401585,3.46497785843498e-06,0.00137919978677146,"Up",NA
"ENSMUSG00000020475",375.953357054282,1.78774377492022,0.220473876831296,2.67562350106123e-17,1.06500517836241e-13,"Up","Pgam2"
"ENSMUSG00000032595",40.3444329554603,1.75550500192832,0.364237102834894,6.65530350958124e-08,6.0206295658039e-05,"Up","Cdhr4"
"ENSMUSG00000030549",25.7863529517565,1.65810499205823,0.784180265530493,2.59715816063369e-05,0.0065428660396116,"Up","Rhcg"
"ENSMUSG00000031549",57.7404050553575,1.65102118945406,0.346120061578538,1.17541900740629e-07,8.35471038764285e-05,"Up","Ido2"
"ENSMUSG00000042707",52.0957677707556,1.60556024384197,0.611233842697831,1.8196062970044e-05,0.00489375736797048,"Up","Dnali1"
"ENSMUSG00000052273",30.5337243526506,1.60246295378103,0.510653620731209,9.4524181017232e-06,0.00318850889933043,"Up","Dnah3"
"ENSMUSG00000049353",17.8403872828284,1.60129793451896,0.905874682760689,3.66653745623524e-05,0.0087719849824979,"Up","Rd3"
"ENSMUSG00000041323",83.2562615505057,1.58595807285515,0.40697220106839,2.48951331903649e-06,0.00115892875258828,"Up","Ak7"
"ENSMUSG00000091415",19.8599290927619,1.5760968232675,0.681174000725139,2.72582199310255e-05,0.00675476218293792,"Up","Ak9"
"ENSMUSG00000038932",57.4353355670659,1.54645828009603,0.753980878047518,3.70237533177482e-05,0.0087719849824979,"Up","Tcfl5"
"ENSMUSG00000045744",8.71643357897484,1.52754989804927,0.803292099966194,4.32057643091435e-05,0.0099118360520327,"Up","Bricd5"
"ENSMUSG00000044948",71.9045112171825,1.50470965011435,0.267317938318908,2.26880765525353e-09,3.01025399699039e-06,"Up","Cfap43"
"ENSMUSG00000018581",50.8496203812546,1.46933168424265,0.367116268532189,2.5728816560468e-06,0.00115892875258828,"Up","Dnah11"
"ENSMUSG00000061462",462.286485300378,1.46701245845967,0.371069866363329,2.90347211595765e-06,0.0012294660011019,"Up","Obscn"
"ENSMUSG00000035860",62.1226626231031,1.41562529685315,0.338808648999846,1.85530808960696e-06,0.000954571022905061,"Up","Cdhr3"
"ENSMUSG00000040564",89.4986460199539,1.41077533051068,0.472641048225935,1.77925231687146e-05,0.00485077802881861,"Up","Apoc1"
"ENSMUSG00000021879",36.50437307699,1.40893720617864,0.541854841330239,2.93030425122852e-05,0.0071120628302378,"Up","Dnah12"
