"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"CGI","GO:0007281","germ cell development","57/333","489/23189",0.116564417177914,8.11715396377973,19.2000124715237,5.66937695415643e-35,1.34761090200298e-31,1.26874688468806e-31,"ENSMUSG00000000365/ENSMUSG00000004633/ENSMUSG00000009596/ENSMUSG00000010592/ENSMUSG00000012609/ENSMUSG00000017195/ENSMUSG00000018554/ENSMUSG00000019952/ENSMUSG00000020059/ENSMUSG00000020131/ENSMUSG00000020435/ENSMUSG00000021758/ENSMUSG00000022236/ENSMUSG00000022429/ENSMUSG00000023403/ENSMUSG00000024033/ENSMUSG00000024206/ENSMUSG00000024266/ENSMUSG00000024430/ENSMUSG00000025081/ENSMUSG00000025231/ENSMUSG00000026650/ENSMUSG00000027520/ENSMUSG00000027719/ENSMUSG00000027855/ENSMUSG00000028109/ENSMUSG00000028264/ENSMUSG00000028389/ENSMUSG00000028610/ENSMUSG00000029279/ENSMUSG00000029423/ENSMUSG00000029769/ENSMUSG00000029848/ENSMUSG00000030491/ENSMUSG00000031027/ENSMUSG00000032514/ENSMUSG00000037171/ENSMUSG00000037708/ENSMUSG00000040140/ENSMUSG00000040489/ENSMUSG00000040829/ENSMUSG00000043410/ENSMUSG00000043648/ENSMUSG00000045521/ENSMUSG00000045631/ENSMUSG00000052525/ENSMUSG00000052920/ENSMUSG00000053153/ENSMUSG00000059288/ENSMUSG00000059970/ENSMUSG00000061882/ENSMUSG00000062859/ENSMUSG00000068117/ENSMUSG00000071359/ENSMUSG00000071636/ENSMUSG00000079681/ENSMUSG00000085576",57
"CGI","GO:0048515","spermatid differentiation","43/333","310/23189",0.138709677419355,9.65927540443669,18.5266769631649,1.34418755708676e-29,1.59756691159761e-26,1.50407512966655e-26,"ENSMUSG00000000365/ENSMUSG00000004633/ENSMUSG00000009596/ENSMUSG00000012609/ENSMUSG00000017195/ENSMUSG00000018554/ENSMUSG00000019952/ENSMUSG00000020059/ENSMUSG00000020131/ENSMUSG00000020435/ENSMUSG00000022236/ENSMUSG00000022429/ENSMUSG00000024033/ENSMUSG00000024206/ENSMUSG00000024266/ENSMUSG00000024430/ENSMUSG00000025231/ENSMUSG00000026650/ENSMUSG00000027378/ENSMUSG00000027719/ENSMUSG00000027855/ENSMUSG00000028264/ENSMUSG00000029279/ENSMUSG00000029423/ENSMUSG00000029769/ENSMUSG00000031027/ENSMUSG00000032514/ENSMUSG00000037708/ENSMUSG00000040489/ENSMUSG00000040829/ENSMUSG00000043648/ENSMUSG00000045521/ENSMUSG00000045631/ENSMUSG00000052920/ENSMUSG00000053153/ENSMUSG00000059288/ENSMUSG00000059970/ENSMUSG00000061882/ENSMUSG00000062859/ENSMUSG00000068117/ENSMUSG00000071359/ENSMUSG00000071636/ENSMUSG00000085576",43
"CGI","GO:0007286","spermatid development","42/333","299/23189",0.140468227424749,9.78173491216969,18.4478887087935,3.77238564173486e-29,2.98898689013459e-26,2.81406732432573e-26,"ENSMUSG00000000365/ENSMUSG00000004633/ENSMUSG00000009596/ENSMUSG00000012609/ENSMUSG00000017195/ENSMUSG00000018554/ENSMUSG00000019952/ENSMUSG00000020059/ENSMUSG00000020131/ENSMUSG00000020435/ENSMUSG00000022236/ENSMUSG00000022429/ENSMUSG00000024033/ENSMUSG00000024206/ENSMUSG00000024266/ENSMUSG00000024430/ENSMUSG00000025231/ENSMUSG00000026650/ENSMUSG00000027719/ENSMUSG00000027855/ENSMUSG00000028264/ENSMUSG00000029279/ENSMUSG00000029423/ENSMUSG00000029769/ENSMUSG00000031027/ENSMUSG00000032514/ENSMUSG00000037708/ENSMUSG00000040489/ENSMUSG00000040829/ENSMUSG00000043648/ENSMUSG00000045521/ENSMUSG00000045631/ENSMUSG00000052920/ENSMUSG00000053153/ENSMUSG00000059288/ENSMUSG00000059970/ENSMUSG00000061882/ENSMUSG00000062859/ENSMUSG00000068117/ENSMUSG00000071359/ENSMUSG00000071636/ENSMUSG00000085576",42
"CGI","GO:0051321","meiotic cell cycle","36/333","345/23189",0.104347826086957,7.26643164904034,14.1545943514829,1.23726364631479e-20,7.35243921822566e-18,6.92216450543487e-18,"ENSMUSG00000002190/ENSMUSG00000005493/ENSMUSG00000009628/ENSMUSG00000009670/ENSMUSG00000010592/ENSMUSG00000020059/ENSMUSG00000021758/ENSMUSG00000022429/ENSMUSG00000022432/ENSMUSG00000024033/ENSMUSG00000025081/ENSMUSG00000025480/ENSMUSG00000025977/ENSMUSG00000026650/ENSMUSG00000027793/ENSMUSG00000027855/ENSMUSG00000028109/ENSMUSG00000029279/ENSMUSG00000029423/ENSMUSG00000029848/ENSMUSG00000030491/ENSMUSG00000032065/ENSMUSG00000032534/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000043410/ENSMUSG00000043648/ENSMUSG00000048230/ENSMUSG00000052525/ENSMUSG00000059970/ENSMUSG00000060445/ENSMUSG00000060499/ENSMUSG00000068117/ENSMUSG00000069041/ENSMUSG00000070345/ENSMUSG00000078796",36
"CGI","GO:0140013","meiotic nuclear division","27/333","218/23189",0.123853211009174,8.62472105132656,13.6526169220969,1.21741587718349e-17,5.78759508013032e-15,5.4488971681939e-15,"ENSMUSG00000005493/ENSMUSG00000009628/ENSMUSG00000009670/ENSMUSG00000010592/ENSMUSG00000020059/ENSMUSG00000021758/ENSMUSG00000022429/ENSMUSG00000025480/ENSMUSG00000027855/ENSMUSG00000028109/ENSMUSG00000029279/ENSMUSG00000029848/ENSMUSG00000030491/ENSMUSG00000032065/ENSMUSG00000032534/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000043410/ENSMUSG00000048230/ENSMUSG00000052525/ENSMUSG00000059970/ENSMUSG00000060445/ENSMUSG00000060499/ENSMUSG00000068117/ENSMUSG00000069041/ENSMUSG00000070345/ENSMUSG00000078796",27
"CGI","GO:1903046","meiotic cell cycle process","27/333","247/23189",0.109311740890688,7.61210198052303,12.6103177832259,2.99655070414321e-16,1.18713350395807e-13,1.11766084158043e-13,"ENSMUSG00000005493/ENSMUSG00000009628/ENSMUSG00000009670/ENSMUSG00000010592/ENSMUSG00000020059/ENSMUSG00000021758/ENSMUSG00000022429/ENSMUSG00000025480/ENSMUSG00000027855/ENSMUSG00000028109/ENSMUSG00000029279/ENSMUSG00000029848/ENSMUSG00000030491/ENSMUSG00000032065/ENSMUSG00000032534/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000043410/ENSMUSG00000048230/ENSMUSG00000052525/ENSMUSG00000059970/ENSMUSG00000060445/ENSMUSG00000060499/ENSMUSG00000068117/ENSMUSG00000069041/ENSMUSG00000070345/ENSMUSG00000078796",27
"CGI","GO:0007127","meiosis I","21/333","138/23189",0.152173913043478,10.5968794881838,13.6482933354741,7.93570532120077e-16,2.69473879264203e-13,2.53703902449215e-13,"ENSMUSG00000005493/ENSMUSG00000009628/ENSMUSG00000009670/ENSMUSG00000020059/ENSMUSG00000021758/ENSMUSG00000022429/ENSMUSG00000025480/ENSMUSG00000027855/ENSMUSG00000028109/ENSMUSG00000029279/ENSMUSG00000032065/ENSMUSG00000032534/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000043410/ENSMUSG00000052525/ENSMUSG00000059970/ENSMUSG00000060445/ENSMUSG00000060499/ENSMUSG00000068117/ENSMUSG00000069041",21
"CGI","GO:0061982","meiosis I cell cycle process","21/333","145/23189",0.144827586206897,10.0853059956508,13.246412522383,2.22243501458571e-15,6.6034100370878e-13,6.21696952764372e-13,"ENSMUSG00000005493/ENSMUSG00000009628/ENSMUSG00000009670/ENSMUSG00000020059/ENSMUSG00000021758/ENSMUSG00000022429/ENSMUSG00000025480/ENSMUSG00000027855/ENSMUSG00000028109/ENSMUSG00000029279/ENSMUSG00000032065/ENSMUSG00000032534/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000043410/ENSMUSG00000052525/ENSMUSG00000059970/ENSMUSG00000060445/ENSMUSG00000060499/ENSMUSG00000068117/ENSMUSG00000069041",21
"CGI","GO:0007140","male meiotic nuclear division","15/333","62/23189",0.241935483870968,16.8475733798314,15.0817804677238,8.4126876072271e-15,2.22188427137542e-12,2.09185659099004e-12,"ENSMUSG00000009628/ENSMUSG00000009670/ENSMUSG00000021758/ENSMUSG00000022429/ENSMUSG00000029279/ENSMUSG00000030491/ENSMUSG00000040629/ENSMUSG00000052525/ENSMUSG00000059970/ENSMUSG00000060445/ENSMUSG00000060499/ENSMUSG00000068117/ENSMUSG00000069041/ENSMUSG00000070345/ENSMUSG00000078796",15
"CGI","GO:0070192","chromosome organization involved in meiotic cell cycle","15/333","75/23189",0.2,13.9273273273273,13.5349130973726,1.74216508040767e-13,4.14112639612904e-11,3.89878206415443e-11,"ENSMUSG00000005493/ENSMUSG00000009628/ENSMUSG00000009670/ENSMUSG00000020059/ENSMUSG00000022429/ENSMUSG00000025480/ENSMUSG00000027855/ENSMUSG00000028109/ENSMUSG00000032065/ENSMUSG00000032534/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000052525/ENSMUSG00000060445/ENSMUSG00000068117",15
